,subagencia,fecha,precioLitro,precioLitro,precioLitro
43,Agencia Modelo del Istmo (Juchitan),2018-02-20,17.94,16.78,17.372307692307686
44,Agencia Modelo del Istmo (Juchitan),2018-02-21,18.41,16.45,17.387777777777774
45,Agencia Modelo del Istmo (Juchitan),2018-02-22,17.97,16.45,17.333636363636366
46,Agencia Modelo del Istmo (Juchitan),2018-02-23,18.47,16.8,17.432727272727274
47,Agencia Modelo del Istmo (Juchitan),2018-02-24,17.97,16.82,17.34777777777778
48,Agencia Modelo del Istmo (Juchitan),2018-02-26,18.03,16.82,17.425384615384612
49,Agencia Modelo del Istmo (Juchitan),2018-02-27,18.03,16.82,17.487368421052643
50,Agencia Modelo del Istmo (Juchitan),2018-02-28,18.5,16.89,17.665806451612895
51,Agencia Modelo del Istmo (Juchitan),2018-03-01,17.99,16.92,17.321379310344838
52,Agencia Modelo del Istmo (Juchitan),2018-03-02,18.5,16.99,17.61818181818182
53,Agencia Modelo del Istmo (Juchitan),2018-03-03,18.5,16.94,17.543333333333333
54,Agencia Modelo del Istmo (Juchitan),2018-03-05,18.13,16.94,17.410999999999998
55,Agencia Modelo del Istmo (Juchitan),2018-03-06,18.13,16.94,17.57295454545456
56,Agencia Modelo del Istmo (Juchitan),2018-03-07,18.5,17.04,17.357499999999998
57,Agencia Modelo del Istmo (Juchitan),2018-03-08,18.62,16.96,17.531081081081073
58,Agencia Modelo del Istmo (Juchitan),2018-03-09,18.13,16.95,17.440952380952382
59,Agencia Modelo del Istmo (Juchitan),2018-03-10,18.64,16.95,17.7675
60,Agencia Modelo del Istmo (Juchitan),2018-03-12,18.1,16.95,17.310833333333335
61,Agencia Modelo del Istmo (Juchitan),2018-03-13,18.64,16.88,17.607500000000012
62,Agencia Modelo del Istmo (Juchitan),2018-03-14,17.95,16.96,17.678260869565214
63,Agencia Modelo del Istmo (Juchitan),2018-03-15,18.64,16.96,17.598709677419347
64,Agencia Modelo del Istmo (Juchitan),2018-03-16,17.12,16.97,17.071428571428573
65,Agencia Modelo del Istmo (Juchitan),2018-03-17,18.68,17.0,17.723846153846157
66,Agencia Modelo del Istmo (Juchitan),2018-03-19,18.11,17.05,17.671
67,Agencia Modelo del Istmo (Juchitan),2018-03-20,18.68,16.98,17.5694827586207
68,Agencia Modelo del Istmo (Juchitan),2018-03-21,18.68,17.99,18.299999999999997
69,Agencia Modelo del Istmo (Juchitan),2018-03-22,18.15,17.01,17.567499999999992
70,Agencia Modelo del Istmo (Juchitan),2018-03-23,18.17,17.0,17.756923076923076
71,Agencia Modelo del Istmo (Juchitan),2018-03-24,18.68,17.0,17.592127659574455
72,Agencia Modelo del Istmo (Juchitan),2018-03-25,18.19,17.14,17.783749999999998
73,Agencia Modelo del Istmo (Juchitan),2018-03-26,18.19,17.12,17.803999999999995
74,Agencia Modelo del Istmo (Juchitan),2018-03-27,18.72,17.04,17.92147058823529
75,Agencia Modelo del Istmo (Juchitan),2018-03-28,18.72,17.0,17.35750000000001
76,Agencia Modelo del Istmo (Juchitan),2018-03-29,18.72,17.05,17.80631578947369
77,Agencia Modelo del Istmo (Juchitan),2018-03-30,18.04,17.05,17.545
78,Agencia Modelo del Istmo (Juchitan),2018-03-31,18.19,17.12,17.885500000000004
79,Agencia Modelo del Istmo (Juchitan),2018-04-02,18.72,17.0,17.731875000000006
80,Agencia Modelo del Istmo (Juchitan),2018-04-03,18.72,17.05,17.678958333333323
81,Agencia Modelo del Istmo (Juchitan),2018-04-04,18.19,17.05,17.63117647058824
82,Agencia Modelo del Istmo (Juchitan),2018-04-05,18.19,17.05,17.527741935483874
83,Agencia Modelo del Istmo (Juchitan),2018-04-06,18.72,17.0,17.778000000000006
84,Agencia Modelo del Istmo (Juchitan),2018-04-07,18.19,17.0,17.558709677419355
85,Agencia Modelo del Istmo (Juchitan),2018-04-09,18.72,17.05,17.73400000000001
86,Agencia Modelo del Istmo (Juchitan),2018-04-10,18.72,17.0,17.547777777777775
87,Agencia Modelo del Istmo (Juchitan),2018-04-11,18.19,17.05,17.770000000000003
88,Agencia Modelo del Istmo (Juchitan),2018-04-12,18.72,16.95,17.58166666666667
89,Agencia Modelo del Istmo (Juchitan),2018-04-13,18.72,17.07,17.683076923076918
90,Agencia Modelo del Istmo (Juchitan),2018-04-14,18.72,16.95,17.697333333333333
91,Agencia Modelo del Istmo (Juchitan),2018-04-16,18.21,17.08,17.58095238095238
92,Agencia Modelo del Istmo (Juchitan),2018-04-17,18.76,17.08,17.77048780487805
93,Agencia Modelo del Istmo (Juchitan),2018-04-18,18.29,17.09,17.702162162162143
94,Agencia Modelo del Istmo (Juchitan),2018-04-19,18.76,17.08,17.69769230769231
95,Agencia Modelo del Istmo (Juchitan),2018-04-20,18.76,17.1,17.709999999999997
96,Agencia Modelo del Istmo (Juchitan),2018-04-21,18.22,17.11,17.293333333333337
97,Agencia Modelo del Istmo (Juchitan),2018-04-23,18.76,17.11,17.607333333333337
98,Agencia Modelo del Istmo (Juchitan),2018-04-24,18.76,17.11,17.653333333333347
99,Agencia Modelo del Istmo (Juchitan),2018-04-25,18.76,17.19,17.788571428571426
100,Agencia Modelo del Istmo (Juchitan),2018-04-26,18.25,17.13,17.814500000000002
101,Agencia Modelo del Istmo (Juchitan),2018-04-27,18.76,17.2,18.000333333333337
102,Agencia Modelo del Istmo (Juchitan),2018-04-28,18.27,17.15,17.697333333333333
103,Agencia Modelo del Istmo (Juchitan),2018-04-29,17.16,17.16,17.16
104,Agencia Modelo del Istmo (Juchitan),2018-04-30,18.27,17.16,17.848064516129025
105,Agencia Modelo del Istmo (Juchitan),2018-05-01,17.22,17.22,17.22
106,Agencia Modelo del Istmo (Juchitan),2018-05-02,18.79,17.13,17.89699999999999
107,Agencia Modelo del Istmo (Juchitan),2018-05-03,18.15,17.13,17.386666666666667
108,Agencia Modelo del Istmo (Juchitan),2018-05-04,18.82,17.26,17.75470588235294
109,Agencia Modelo del Istmo (Juchitan),2018-05-05,18.82,17.19,17.87777777777778
110,Agencia Modelo del Istmo (Juchitan),2018-05-07,18.82,17.19,17.847777777777775
111,Agencia Modelo del Istmo (Juchitan),2018-05-08,18.82,17.19,17.792500000000004
112,Agencia Modelo del Istmo (Juchitan),2018-05-09,18.33,17.2,17.63
113,Agencia Modelo del Istmo (Juchitan),2018-05-10,18.82,17.2,17.792727272727273
114,Agencia Modelo del Istmo (Juchitan),2018-05-11,18.35,17.22,17.908965517241377
115,Agencia Modelo del Istmo (Juchitan),2018-05-12,18.82,17.23,17.70793103448276
116,Agencia Modelo del Istmo (Juchitan),2018-05-14,18.82,17.34,17.889230769230767
117,Agencia Modelo del Istmo (Juchitan),2018-05-15,18.82,17.23,17.85090909090909
118,Agencia Modelo del Istmo (Juchitan),2018-05-16,18.84,17.24,17.96857142857143
119,Agencia Modelo del Istmo (Juchitan),2018-05-17,18.85,17.37,18.049999999999997
120,Agencia Modelo del Istmo (Juchitan),2018-05-18,18.39,17.26,17.82894736842105
121,Agencia Modelo del Istmo (Juchitan),2018-05-19,18.39,17.35,18.084
122,Agencia Modelo del Istmo (Juchitan),2018-05-20,17.36,17.36,17.36
123,Agencia Modelo del Istmo (Juchitan),2018-05-21,18.85,17.38,18.113571428571426
124,Agencia Modelo del Istmo (Juchitan),2018-05-22,18.85,17.28,17.928928571428575
125,Agencia Modelo del Istmo (Juchitan),2018-05-23,18.42,17.29,17.9844
126,Agencia Modelo del Istmo (Juchitan),2018-05-24,18.85,17.3,17.690000000000005
127,Agencia Modelo del Istmo (Juchitan),2018-05-25,18.39,17.31,17.700000000000003
128,Agencia Modelo del Istmo (Juchitan),2018-05-26,18.45,17.32,18.059500000000007
129,Agencia Modelo del Istmo (Juchitan),2018-05-28,18.46,17.33,17.66862068965517
130,Agencia Modelo del Istmo (Juchitan),2018-05-29,18.91,17.33,17.874
131,Agencia Modelo del Istmo (Juchitan),2018-05-30,18.46,17.33,17.958095238095233
132,Agencia Modelo del Istmo (Juchitan),2018-05-31,18.94,17.35,18.014499999999995
133,Agencia Modelo del Istmo (Juchitan),2018-06-01,18.95,17.36,18.0785
134,Agencia Modelo del Istmo (Juchitan),2018-06-02,18.51,17.37,17.7764705882353
135,Agencia Modelo del Istmo (Juchitan),2018-06-04,18.96,17.37,17.685882352941178
136,Agencia Modelo del Istmo (Juchitan),2018-06-05,18.53,17.4,17.93958333333333
137,Agencia Modelo del Istmo (Juchitan),2018-06-06,18.55,17.4,17.914166666666667
138,Agencia Modelo del Istmo (Juchitan),2018-06-07,18.97,17.4,17.923076923076923
139,Agencia Modelo del Istmo (Juchitan),2018-06-08,18.97,17.42,18.083499999999994
140,Agencia Modelo del Istmo (Juchitan),2018-06-09,18.58,17.43,18.040303030303043
141,Agencia Modelo del Istmo (Juchitan),2018-06-11,18.99,17.43,18.004761904761903
142,Agencia Modelo del Istmo (Juchitan),2018-06-12,18.59,17.44,18.062
143,Agencia Modelo del Istmo (Juchitan),2018-06-13,18.6,17.55,18.26666666666667
144,Agencia Modelo del Istmo (Juchitan),2018-06-14,18.99,17.57,17.932307692307695
145,Agencia Modelo del Istmo (Juchitan),2018-06-15,19.06,17.45,18.276666666666667
146,Agencia Modelo del Istmo (Juchitan),2018-06-16,18.61,17.48,18.098064516129043
147,Agencia Modelo del Istmo (Juchitan),2018-06-17,17.49,17.49,17.49
148,Agencia Modelo del Istmo (Juchitan),2018-06-18,18.99,17.6,18.29928571428572
149,Agencia Modelo del Istmo (Juchitan),2018-06-19,18.7,17.5,18.082571428571427
150,Agencia Modelo del Istmo (Juchitan),2018-06-20,18.7,17.51,18.26
151,Agencia Modelo del Istmo (Juchitan),2018-06-21,19.1,17.52,18.03777777777778
152,Agencia Modelo del Istmo (Juchitan),2018-06-22,18.73,17.53,18.187857142857144
153,Agencia Modelo del Istmo (Juchitan),2018-06-23,19.11,17.54,17.98818181818182
154,Agencia Modelo del Istmo (Juchitan),2018-06-24,19.11,18.54,18.607272727272722
155,Agencia Modelo del Istmo (Juchitan),2018-06-25,19.11,17.54,18.434333333333335
156,Agencia Modelo del Istmo (Juchitan),2018-06-26,18.72,17.55,17.831052631578952
157,Agencia Modelo del Istmo (Juchitan),2018-06-27,18.78,17.56,18.197333333333333
158,Agencia Modelo del Istmo (Juchitan),2018-06-28,19.11,17.7,18.52
159,Agencia Modelo del Istmo (Juchitan),2018-06-29,19.14,17.58,18.45205882352941
160,Agencia Modelo del Istmo (Juchitan),2018-06-30,18.6,18.6,18.6
161,Agencia Modelo del Istmo (Juchitan),2018-07-01,17.59,17.59,17.59
162,Agencia Modelo del Istmo (Juchitan),2018-07-02,19.11,17.59,18.29107142857143
163,Agencia Modelo del Istmo (Juchitan),2018-07-03,19.11,17.59,18.241515151515156
164,Agencia Modelo del Istmo (Juchitan),2018-07-04,18.82,17.61,18.30111111111111
165,Agencia Modelo del Istmo (Juchitan),2018-07-05,19.14,17.63,18.22967741935484
166,Agencia Modelo del Istmo (Juchitan),2018-07-06,18.89,17.63,18.396923076923073
167,Agencia Modelo del Istmo (Juchitan),2018-07-07,18.71,17.67,18.175714285714285
168,Agencia Modelo del Istmo (Juchitan),2018-07-08,17.67,17.67,17.67
169,Agencia Modelo del Istmo (Juchitan),2018-07-09,19.16,17.67,18.494642857142857
170,Agencia Modelo del Istmo (Juchitan),2018-07-10,18.92,17.71,18.514285714285716
171,Agencia Modelo del Istmo (Juchitan),2018-07-11,19.16,17.72,18.48678571428571
172,Agencia Modelo del Istmo (Juchitan),2018-07-12,19.23,17.87,18.353846153846156
173,Agencia Modelo del Istmo (Juchitan),2018-07-13,19.23,17.63,18.61416666666667
174,Agencia Modelo del Istmo (Juchitan),2018-07-14,18.96,17.8,18.423000000000005
175,Agencia Modelo del Istmo (Juchitan),2018-07-15,18.96,17.83,18.720769230769232
176,Agencia Modelo del Istmo (Juchitan),2018-07-16,18.96,17.83,18.236333333333324
177,Agencia Modelo del Istmo (Juchitan),2018-07-17,19.26,17.88,18.50576923076923
178,Agencia Modelo del Istmo (Juchitan),2018-07-18,18.99,17.88,18.439999999999998
179,Agencia Modelo del Istmo (Juchitan),2018-07-19,19.29,17.88,18.57176470588235
180,Agencia Modelo del Istmo (Juchitan),2018-07-20,19.04,18.09,18.438666666666666
181,Agencia Modelo del Istmo (Juchitan),2018-07-21,19.33,17.94,18.62
182,Agencia Modelo del Istmo (Juchitan),2018-07-22,18.87,17.94,18.609166666666667
183,Agencia Modelo del Istmo (Juchitan),2018-07-23,19.33,17.94,18.523636363636356
184,Agencia Modelo del Istmo (Juchitan),2018-07-24,19.33,17.96,18.540000000000003
185,Agencia Modelo del Istmo (Juchitan),2018-07-25,19.38,18.22,18.848999999999997
186,Agencia Modelo del Istmo (Juchitan),2018-07-26,19.14,18.15,18.651111111111117
187,Agencia Modelo del Istmo (Juchitan),2018-07-27,19.71,18.02,18.80964285714285
188,Agencia Modelo del Istmo (Juchitan),2018-07-28,19.19,18.04,18.65477272727273
189,Agencia Modelo del Istmo (Juchitan),2018-07-29,19.13,18.29,18.849999999999998
190,Agencia Modelo del Istmo (Juchitan),2018-07-30,19.42,18.04,18.886333333333347
191,Agencia Modelo del Istmo (Juchitan),2018-07-31,19.26,18.11,18.726190476190474
192,Agencia Modelo del Istmo (Juchitan),2018-08-01,19.26,18.13,18.988636363636367
193,Agencia Modelo del Istmo (Juchitan),2018-08-02,19.36,18.15,18.60705882352941
194,Agencia Modelo del Istmo (Juchitan),2018-08-03,19.54,18.18,18.946153846153848
195,Agencia Modelo del Istmo (Juchitan),2018-08-04,19.36,18.25,18.958181818181817
196,Agencia Modelo del Istmo (Juchitan),2018-08-06,19.64,18.27,19.112499999999997
197,Agencia Modelo del Istmo (Juchitan),2018-08-07,19.59,18.31,18.873750000000005
198,Agencia Modelo del Istmo (Juchitan),2018-08-08,19.42,18.33,19.09838709677419
199,Agencia Modelo del Istmo (Juchitan),2018-08-09,19.66,18.35,19.079600000000013
200,Agencia Modelo del Istmo (Juchitan),2018-08-10,19.49,18.38,19.096666666666668
201,Agencia Modelo del Istmo (Juchitan),2018-08-11,19.49,18.38,18.87684210526316
202,Agencia Modelo del Istmo (Juchitan),2018-08-12,19.49,18.61,19.049999999999997
203,Agencia Modelo del Istmo (Juchitan),2018-08-13,19.79,18.41,18.917777777777783
204,Agencia Modelo del Istmo (Juchitan),2018-08-14,19.52,18.41,19.11
205,Agencia Modelo del Istmo (Juchitan),2018-08-15,19.52,18.44,18.891
206,Agencia Modelo del Istmo (Juchitan),2018-08-16,19.76,18.46,19.11823529411765
207,Agencia Modelo del Istmo (Juchitan),2018-08-17,19.55,18.46,19.019166666666667
208,Agencia Modelo del Istmo (Juchitan),2018-08-18,19.76,18.46,19.03
209,Agencia Modelo del Istmo (Juchitan),2018-08-19,19.57,19.53,19.55
210,Agencia Modelo del Istmo (Juchitan),2018-08-20,19.89,18.46,19.032291666666683
211,Agencia Modelo del Istmo (Juchitan),2018-08-21,19.59,18.46,19.06217391304348
212,Agencia Modelo del Istmo (Juchitan),2018-08-22,19.59,18.46,18.86130434782609
213,Agencia Modelo del Istmo (Juchitan),2018-08-23,19.96,18.48,19.1858064516129
214,Agencia Modelo del Istmo (Juchitan),2018-08-24,19.91,18.68,19.215555555555554
215,Agencia Modelo del Istmo (Juchitan),2018-08-25,19.62,18.46,19.172499999999992
216,Agencia Modelo del Istmo (Juchitan),2018-08-27,19.94,18.5,19.02136363636364
217,Agencia Modelo del Istmo (Juchitan),2018-08-28,19.66,18.5,19.080769230769228
218,Agencia Modelo del Istmo (Juchitan),2018-08-29,19.66,18.55,19.245555555555555
219,Agencia Modelo del Istmo (Juchitan),2018-08-30,20.03,18.71,19.203636363636363
220,Agencia Modelo del Istmo (Juchitan),2018-08-31,19.66,18.54,19.166315789473686
221,Agencia Modelo del Istmo (Juchitan),2018-09-01,19.7,18.75,19.326999999999995
222,Agencia Modelo del Istmo (Juchitan),2018-09-03,20.03,18.57,19.096249999999994
223,Agencia Modelo del Istmo (Juchitan),2018-09-04,20.05,18.57,19.227916666666662
224,Agencia Modelo del Istmo (Juchitan),2018-09-05,20.1,18.57,19.517777777777777
225,Agencia Modelo del Istmo (Juchitan),2018-09-06,20.1,18.74,19.213125
226,Agencia Modelo del Istmo (Juchitan),2018-09-07,19.79,18.57,19.34166666666667
227,Agencia Modelo del Istmo (Juchitan),2018-09-08,19.79,18.57,19.355999999999995
228,Agencia Modelo del Istmo (Juchitan),2018-09-10,20.14,18.57,19.33777777777777
229,Agencia Modelo del Istmo (Juchitan),2018-09-11,19.79,18.57,19.274074074074065
230,Agencia Modelo del Istmo (Juchitan),2018-09-12,20.14,18.58,19.18
231,Agencia Modelo del Istmo (Juchitan),2018-09-13,19.82,18.58,19.178
232,Agencia Modelo del Istmo (Juchitan),2018-09-14,20.14,18.61,19.390666666666668
233,Agencia Modelo del Istmo (Juchitan),2018-09-15,19.81,18.74,19.62904761904762
234,Agencia Modelo del Istmo (Juchitan),2018-09-16,18.86,18.63,18.744999999999997
235,Agencia Modelo del Istmo (Juchitan),2018-09-17,20.14,18.63,19.305789473684207
236,Agencia Modelo del Istmo (Juchitan),2018-09-18,20.15,18.74,19.35636363636364
237,Agencia Modelo del Istmo (Juchitan),2018-09-19,19.82,18.63,19.20833333333334
238,Agencia Modelo del Istmo (Juchitan),2018-09-20,20.2,18.63,19.078125
239,Agencia Modelo del Istmo (Juchitan),2018-09-21,20.4,18.65,19.377777777777773
240,Agencia Modelo del Istmo (Juchitan),2018-09-22,20.22,18.66,19.45419354838711
241,Agencia Modelo del Istmo (Juchitan),2018-09-24,19.84,18.66,19.269473684210528
242,Agencia Modelo del Istmo (Juchitan),2018-09-25,20.22,18.52,19.194799999999997
243,Agencia Modelo del Istmo (Juchitan),2018-09-26,19.85,18.89,19.42428571428572
244,Agencia Modelo del Istmo (Juchitan),2018-09-27,19.89,18.78,19.280000000000005
245,Agencia Modelo del Istmo (Juchitan),2018-09-28,19.89,18.73,19.354166666666668
246,Agencia Modelo del Istmo (Juchitan),2018-09-29,19.94,18.73,19.519230769230766
247,Agencia Modelo del Istmo (Juchitan),2018-09-30,18.85,18.85,18.85
248,Agencia Modelo del Istmo (Juchitan),2018-10-01,19.94,18.73,19.10129032258065
249,Agencia Modelo del Istmo (Juchitan),2018-10-02,20.23,18.8,19.44625
250,Agencia Modelo del Istmo (Juchitan),2018-10-03,19.96,18.74,19.486923076923077
251,Agencia Modelo del Istmo (Juchitan),2018-10-04,20.29,18.87,19.283636363636365
252,Agencia Modelo del Istmo (Juchitan),2018-10-05,19.99,18.78,19.477674418604654
253,Agencia Modelo del Istmo (Juchitan),2018-10-06,20.01,19.02,19.267500000000002
254,Agencia Modelo del Istmo (Juchitan),2018-10-07,18.81,18.81,18.81
255,Agencia Modelo del Istmo (Juchitan),2018-10-08,20.02,18.81,19.42
256,Agencia Modelo del Istmo (Juchitan),2018-10-09,20.36,18.81,19.52260869565217
257,Agencia Modelo del Istmo (Juchitan),2018-10-10,20.36,18.84,19.663513513513514
258,Agencia Modelo del Istmo (Juchitan),2018-10-11,20.06,18.85,19.43625
259,Agencia Modelo del Istmo (Juchitan),2018-10-12,20.34,18.85,19.50653846153847
260,Agencia Modelo del Istmo (Juchitan),2018-10-13,20.36,18.85,19.509499999999996
261,Agencia Modelo del Istmo (Juchitan),2018-10-15,20.12,18.85,19.480555555555554
262,Agencia Modelo del Istmo (Juchitan),2018-10-16,20.12,18.85,19.52615384615385
263,Agencia Modelo del Istmo (Juchitan),2018-10-17,20.44,19.02,19.6325
264,Agencia Modelo del Istmo (Juchitan),2018-10-18,20.13,18.85,19.305
265,Agencia Modelo del Istmo (Juchitan),2018-10-19,20.19,18.86,19.525000000000002
266,Agencia Modelo del Istmo (Juchitan),2018-10-20,20.14,18.86,19.588620689655166
267,Agencia Modelo del Istmo (Juchitan),2018-10-21,18.86,18.86,18.86
268,Agencia Modelo del Istmo (Juchitan),2018-10-22,20.24,18.87,19.731666666666662
269,Agencia Modelo del Istmo (Juchitan),2018-10-23,20.19,18.87,19.399545454545454
270,Agencia Modelo del Istmo (Juchitan),2018-10-24,20.19,18.87,19.57608695652174
271,Agencia Modelo del Istmo (Juchitan),2018-10-25,20.64,18.87,19.52136363636364
272,Agencia Modelo del Istmo (Juchitan),2018-10-26,20.64,18.87,19.758888888888883
273,Agencia Modelo del Istmo (Juchitan),2018-10-27,20.19,18.9,19.729655172413786
274,Agencia Modelo del Istmo (Juchitan),2018-10-28,18.99,18.89,18.929999999999996
275,Agencia Modelo del Istmo (Juchitan),2018-10-29,20.21,18.84,19.41761904761904
276,Agencia Modelo del Istmo (Juchitan),2018-10-30,20.25,18.87,19.50827586206896
277,Agencia Modelo del Istmo (Juchitan),2018-11-01,20.36,18.84,19.452173913043474
278,Agencia Modelo del Istmo (Juchitan),2018-11-02,19.02,19.02,19.02
279,Agencia Modelo del Istmo (Juchitan),2018-11-03,20.29,18.84,19.59666666666666
280,Agencia Modelo del Istmo (Juchitan),2018-11-05,20.33,18.89,19.580714285714283
281,Agencia Modelo del Istmo (Juchitan),2018-11-06,20.64,18.84,19.55708333333333
282,Agencia Modelo del Istmo (Juchitan),2018-11-07,20.36,18.84,19.31866666666667
283,Agencia Modelo del Istmo (Juchitan),2018-11-08,20.36,18.89,19.344375000000003
284,Agencia Modelo del Istmo (Juchitan),2018-11-09,20.61,18.89,19.677619047619043
285,Agencia Modelo del Istmo (Juchitan),2018-11-10,20.36,18.84,19.3925
286,Agencia Modelo del Istmo (Juchitan),2018-11-11,20.26,18.89,19.63774193548386
287,Agencia Modelo del Istmo (Juchitan),2018-11-12,20.66,18.51,19.632413793103442
288,Agencia Modelo del Istmo (Juchitan),2018-11-13,20.36,18.85,19.600666666666665
289,Agencia Modelo del Istmo (Juchitan),2018-11-14,20.66,18.85,19.54891304347825
290,Agencia Modelo del Istmo (Juchitan),2018-11-15,20.66,18.8,19.629565217391303
291,Agencia Modelo del Istmo (Juchitan),2018-11-16,20.38,18.78,19.630000000000006
292,Agencia Modelo del Istmo (Juchitan),2018-11-17,20.36,18.85,19.775000000000006
293,Agencia Modelo del Istmo (Juchitan),2018-11-19,20.59,18.76,19.707435897435893
294,Agencia Modelo del Istmo (Juchitan),2018-11-20,20.66,18.76,19.58666666666666
295,Agencia Modelo del Istmo (Juchitan),2018-11-21,20.37,18.76,19.365882352941174
296,Agencia Modelo del Istmo (Juchitan),2018-11-22,20.64,18.76,19.579375
297,Agencia Modelo del Istmo (Juchitan),2018-11-23,20.37,18.78,19.5825
298,Agencia Modelo del Istmo (Juchitan),2018-11-24,20.64,18.81,19.946129032258053
299,Agencia Modelo del Istmo (Juchitan),2018-11-25,20.38,18.76,19.382142857142856
300,Agencia Modelo del Istmo (Juchitan),2018-11-26,20.64,18.81,19.537714285714276
301,Agencia Modelo del Istmo (Juchitan),2018-11-27,20.38,18.81,19.64666666666667
302,Agencia Modelo del Istmo (Juchitan),2018-11-28,20.38,18.89,19.521176470588237
303,Agencia Modelo del Istmo (Juchitan),2018-11-29,20.64,18.81,19.55888888888889
304,Agencia Modelo del Istmo (Juchitan),2018-11-30,20.38,18.71,19.43666666666666
305,Agencia Modelo del Istmo (Juchitan),2018-12-01,20.19,18.89,19.612222222222222
306,Agencia Modelo del Istmo (Juchitan),2018-12-02,18.89,18.89,18.89
307,Agencia Modelo del Istmo (Juchitan),2018-12-03,20.36,18.89,19.615106382978716
308,Agencia Modelo del Istmo (Juchitan),2018-12-04,20.64,18.76,19.633999999999997
309,Agencia Modelo del Istmo (Juchitan),2018-12-05,20.34,18.73,19.414545454545454
310,Agencia Modelo del Istmo (Juchitan),2018-12-06,20.34,18.68,19.543999999999997
311,Agencia Modelo del Istmo (Juchitan),2018-12-07,20.59,18.73,19.42625
312,Agencia Modelo del Istmo (Juchitan),2018-12-08,20.38,18.71,19.656808510638303
