,subagencia,fecha,precioLitro,centroCarga
355,Agencia Modelo del Istmo (Juchitan),2018-04-18,17.09,109321
365,Agencia Modelo del Istmo (Juchitan),2018-04-18,17.09,113975
366,Agencia Modelo del Istmo (Juchitan),2018-04-19,17.08,109314
367,Agencia Modelo del Istmo (Juchitan),2018-04-20,17.1,113975
368,Agencia Modelo del Istmo (Juchitan),2018-04-20,17.1,109321
369,Agencia Modelo del Istmo (Juchitan),2018-04-21,17.11,109321
370,Agencia Modelo del Istmo (Juchitan),2018-04-23,17.11,109321
371,Agencia Modelo del Istmo (Juchitan),2018-04-23,17.11,117198
373,Agencia Modelo del Istmo (Juchitan),2018-04-24,17.11,109321
388,Agencia Modelo del Istmo (Juchitan),2018-04-24,17.11,113975
389,Agencia Modelo del Istmo (Juchitan),2018-04-25,17.19,115358
391,Agencia Modelo del Istmo (Juchitan),2018-04-25,17.19,107453
392,Agencia Modelo del Istmo (Juchitan),2018-04-26,17.13,109321
393,Agencia Modelo del Istmo (Juchitan),2018-04-27,17.2,115358
395,Agencia Modelo del Istmo (Juchitan),2018-04-28,17.15,117198
396,Agencia Modelo del Istmo (Juchitan),2018-04-29,17.16,113975
397,Agencia Modelo del Istmo (Juchitan),2018-04-30,17.16,109321
400,Agencia Modelo del Istmo (Juchitan),2018-05-01,17.22,107453
401,Agencia Modelo del Istmo (Juchitan),2018-05-01,17.22,115358
402,Agencia Modelo del Istmo (Juchitan),2018-05-02,17.13,107459
403,Agencia Modelo del Istmo (Juchitan),2018-05-03,17.13,107459
404,Agencia Modelo del Istmo (Juchitan),2018-05-04,17.26,115358
407,Agencia Modelo del Istmo (Juchitan),2018-05-05,17.19,117198
408,Agencia Modelo del Istmo (Juchitan),2018-05-07,17.19,109321
409,Agencia Modelo del Istmo (Juchitan),2018-05-07,17.19,117198
410,Agencia Modelo del Istmo (Juchitan),2018-05-08,17.19,109321
418,Agencia Modelo del Istmo (Juchitan),2018-05-09,17.2,117198
419,Agencia Modelo del Istmo (Juchitan),2018-05-09,17.2,109321
421,Agencia Modelo del Istmo (Juchitan),2018-05-10,17.2,110314
422,Agencia Modelo del Istmo (Juchitan),2018-05-11,17.22,109321
425,Agencia Modelo del Istmo (Juchitan),2018-05-12,17.23,109321
436,Agencia Modelo del Istmo (Juchitan),2018-05-14,17.34,114034
442,Agencia Modelo del Istmo (Juchitan),2018-05-15,17.23,117198
443,Agencia Modelo del Istmo (Juchitan),2018-05-15,17.23,109321
448,Agencia Modelo del Istmo (Juchitan),2018-05-16,17.24,109321
451,Agencia Modelo del Istmo (Juchitan),2018-05-17,17.37,114034
456,Agencia Modelo del Istmo (Juchitan),2018-05-18,17.26,109321
457,Agencia Modelo del Istmo (Juchitan),2018-05-18,17.26,117198
459,Agencia Modelo del Istmo (Juchitan),2018-05-19,17.35,107453
461,Agencia Modelo del Istmo (Juchitan),2018-05-20,17.36,115358
462,Agencia Modelo del Istmo (Juchitan),2018-05-21,17.38,114034
465,Agencia Modelo del Istmo (Juchitan),2018-05-22,17.28,117198
466,Agencia Modelo del Istmo (Juchitan),2018-05-22,17.28,109321
468,Agencia Modelo del Istmo (Juchitan),2018-05-23,17.29,109321
473,Agencia Modelo del Istmo (Juchitan),2018-05-24,17.3,109321
474,Agencia Modelo del Istmo (Juchitan),2018-05-25,17.31,109321
475,Agencia Modelo del Istmo (Juchitan),2018-05-26,17.32,109321
476,Agencia Modelo del Istmo (Juchitan),2018-05-28,17.33,109321
491,Agencia Modelo del Istmo (Juchitan),2018-05-29,17.33,109321
493,Agencia Modelo del Istmo (Juchitan),2018-05-29,17.33,117198
495,Agencia Modelo del Istmo (Juchitan),2018-05-30,17.33,109321
496,Agencia Modelo del Istmo (Juchitan),2018-05-31,17.35,109321
499,Agencia Modelo del Istmo (Juchitan),2018-06-01,17.36,109321
500,Agencia Modelo del Istmo (Juchitan),2018-06-01,17.36,109314
501,Agencia Modelo del Istmo (Juchitan),2018-06-02,17.37,109321
509,Agencia Modelo del Istmo (Juchitan),2018-06-04,17.37,109321
516,Agencia Modelo del Istmo (Juchitan),2018-06-05,17.4,109321
519,Agencia Modelo del Istmo (Juchitan),2018-06-05,17.4,117198
520,Agencia Modelo del Istmo (Juchitan),2018-06-06,17.4,109321
526,Agencia Modelo del Istmo (Juchitan),2018-06-07,17.4,109321
527,Agencia Modelo del Istmo (Juchitan),2018-06-08,17.42,109321
530,Agencia Modelo del Istmo (Juchitan),2018-06-09,17.43,109321
539,Agencia Modelo del Istmo (Juchitan),2018-06-11,17.43,109321
542,Agencia Modelo del Istmo (Juchitan),2018-06-12,17.44,109321
550,Agencia Modelo del Istmo (Juchitan),2018-06-13,17.55,115358
551,Agencia Modelo del Istmo (Juchitan),2018-06-14,17.57,115358
552,Agencia Modelo del Istmo (Juchitan),2018-06-15,17.45,110314
553,Agencia Modelo del Istmo (Juchitan),2018-06-16,17.48,113975
554,Agencia Modelo del Istmo (Juchitan),2018-06-16,17.48,109321
561,Agencia Modelo del Istmo (Juchitan),2018-06-17,17.49,113975
562,Agencia Modelo del Istmo (Juchitan),2018-06-18,17.6,115358
563,Agencia Modelo del Istmo (Juchitan),2018-06-19,17.5,109321
570,Agencia Modelo del Istmo (Juchitan),2018-06-20,17.51,107452
571,Agencia Modelo del Istmo (Juchitan),2018-06-20,17.51,109321
572,Agencia Modelo del Istmo (Juchitan),2018-06-21,17.52,109321
578,Agencia Modelo del Istmo (Juchitan),2018-06-22,17.53,113975
579,Agencia Modelo del Istmo (Juchitan),2018-06-23,17.54,109321
581,Agencia Modelo del Istmo (Juchitan),2018-06-24,18.54,109321
590,Agencia Modelo del Istmo (Juchitan),2018-06-25,17.54,109321
591,Agencia Modelo del Istmo (Juchitan),2018-06-26,17.55,109321
598,Agencia Modelo del Istmo (Juchitan),2018-06-27,17.56,109321
600,Agencia Modelo del Istmo (Juchitan),2018-06-28,17.7,107453
601,Agencia Modelo del Istmo (Juchitan),2018-06-29,17.58,109321
602,Agencia Modelo del Istmo (Juchitan),2018-06-30,18.6,109321
604,Agencia Modelo del Istmo (Juchitan),2018-07-01,17.59,117198
605,Agencia Modelo del Istmo (Juchitan),2018-07-02,17.59,109321
611,Agencia Modelo del Istmo (Juchitan),2018-07-03,17.59,109321
615,Agencia Modelo del Istmo (Juchitan),2018-07-03,17.59,113975
616,Agencia Modelo del Istmo (Juchitan),2018-07-03,17.59,107452
617,Agencia Modelo del Istmo (Juchitan),2018-07-04,17.61,113975
618,Agencia Modelo del Istmo (Juchitan),2018-07-04,17.61,117198
619,Agencia Modelo del Istmo (Juchitan),2018-07-05,17.63,109321
626,Agencia Modelo del Istmo (Juchitan),2018-07-06,17.63,109321
627,Agencia Modelo del Istmo (Juchitan),2018-07-07,17.67,109321
635,Agencia Modelo del Istmo (Juchitan),2018-07-08,17.67,109321
636,Agencia Modelo del Istmo (Juchitan),2018-07-09,17.67,109321
637,Agencia Modelo del Istmo (Juchitan),2018-07-09,17.67,113975
638,Agencia Modelo del Istmo (Juchitan),2018-07-10,17.71,117198
639,Agencia Modelo del Istmo (Juchitan),2018-07-11,17.72,113975
641,Agencia Modelo del Istmo (Juchitan),2018-07-12,17.87,115358
642,Agencia Modelo del Istmo (Juchitan),2018-07-12,17.87,107453
643,Agencia Modelo del Istmo (Juchitan),2018-07-13,17.63,107459
644,Agencia Modelo del Istmo (Juchitan),2018-07-14,17.8,109321
646,Agencia Modelo del Istmo (Juchitan),2018-07-15,17.83,109321
647,Agencia Modelo del Istmo (Juchitan),2018-07-16,17.83,109321
661,Agencia Modelo del Istmo (Juchitan),2018-07-17,17.88,117198
662,Agencia Modelo del Istmo (Juchitan),2018-07-17,17.88,113975
663,Agencia Modelo del Istmo (Juchitan),2018-07-18,17.88,109321
666,Agencia Modelo del Istmo (Juchitan),2018-07-19,17.88,109321
667,Agencia Modelo del Istmo (Juchitan),2018-07-20,18.09,107453
671,Agencia Modelo del Istmo (Juchitan),2018-07-21,17.94,109321
672,Agencia Modelo del Istmo (Juchitan),2018-07-22,17.94,109321
678,Agencia Modelo del Istmo (Juchitan),2018-07-23,17.94,109321
680,Agencia Modelo del Istmo (Juchitan),2018-07-23,17.94,113975
681,Agencia Modelo del Istmo (Juchitan),2018-07-24,17.96,117198
682,Agencia Modelo del Istmo (Juchitan),2018-07-24,17.96,109321
685,Agencia Modelo del Istmo (Juchitan),2018-07-25,18.22,114034
688,Agencia Modelo del Istmo (Juchitan),2018-07-26,18.15,107453
690,Agencia Modelo del Istmo (Juchitan),2018-07-27,18.02,109321
691,Agencia Modelo del Istmo (Juchitan),2018-07-28,18.04,109321
702,Agencia Modelo del Istmo (Juchitan),2018-07-29,18.29,114034
703,Agencia Modelo del Istmo (Juchitan),2018-07-30,18.04,113975
704,Agencia Modelo del Istmo (Juchitan),2018-07-31,18.11,117198
705,Agencia Modelo del Istmo (Juchitan),2018-07-31,18.11,113975
706,Agencia Modelo del Istmo (Juchitan),2018-08-01,18.13,109321
707,Agencia Modelo del Istmo (Juchitan),2018-08-02,18.15,109321
708,Agencia Modelo del Istmo (Juchitan),2018-08-02,18.15,113975
709,Agencia Modelo del Istmo (Juchitan),2018-08-03,18.18,109321
710,Agencia Modelo del Istmo (Juchitan),2018-08-04,18.25,109321
712,Agencia Modelo del Istmo (Juchitan),2018-08-06,18.27,117198
713,Agencia Modelo del Istmo (Juchitan),2018-08-07,18.31,109321
715,Agencia Modelo del Istmo (Juchitan),2018-08-08,18.33,109321
718,Agencia Modelo del Istmo (Juchitan),2018-08-09,18.35,109321
719,Agencia Modelo del Istmo (Juchitan),2018-08-10,18.38,109321
720,Agencia Modelo del Istmo (Juchitan),2018-08-11,18.38,109321
723,Agencia Modelo del Istmo (Juchitan),2018-08-12,18.61,114034
724,Agencia Modelo del Istmo (Juchitan),2018-08-13,18.41,109321
727,Agencia Modelo del Istmo (Juchitan),2018-08-13,18.41,117198
728,Agencia Modelo del Istmo (Juchitan),2018-08-14,18.41,109321
731,Agencia Modelo del Istmo (Juchitan),2018-08-15,18.44,109321
732,Agencia Modelo del Istmo (Juchitan),2018-08-16,18.46,109321
733,Agencia Modelo del Istmo (Juchitan),2018-08-17,18.46,109321
734,Agencia Modelo del Istmo (Juchitan),2018-08-18,18.46,107452
735,Agencia Modelo del Istmo (Juchitan),2018-08-19,19.53,107453
736,Agencia Modelo del Istmo (Juchitan),2018-08-20,18.46,113975
737,Agencia Modelo del Istmo (Juchitan),2018-08-20,18.46,109321
749,Agencia Modelo del Istmo (Juchitan),2018-08-21,18.46,113975
750,Agencia Modelo del Istmo (Juchitan),2018-08-22,18.46,113975
759,Agencia Modelo del Istmo (Juchitan),2018-08-23,18.48,117198
760,Agencia Modelo del Istmo (Juchitan),2018-08-23,18.48,113975
761,Agencia Modelo del Istmo (Juchitan),2018-08-23,18.48,109321
763,Agencia Modelo del Istmo (Juchitan),2018-08-24,18.68,115358
765,Agencia Modelo del Istmo (Juchitan),2018-08-25,18.46,107458
766,Agencia Modelo del Istmo (Juchitan),2018-08-27,18.5,109321
774,Agencia Modelo del Istmo (Juchitan),2018-08-28,18.5,109321
776,Agencia Modelo del Istmo (Juchitan),2018-08-28,18.5,117198
777,Agencia Modelo del Istmo (Juchitan),2018-08-29,18.55,112831
778,Agencia Modelo del Istmo (Juchitan),2018-08-30,18.71,115358
781,Agencia Modelo del Istmo (Juchitan),2018-08-31,18.54,107452
782,Agencia Modelo del Istmo (Juchitan),2018-08-31,18.54,109321
790,Agencia Modelo del Istmo (Juchitan),2018-09-01,18.75,115358
791,Agencia Modelo del Istmo (Juchitan),2018-09-03,18.57,109321
797,Agencia Modelo del Istmo (Juchitan),2018-09-03,18.57,117198
798,Agencia Modelo del Istmo (Juchitan),2018-09-04,18.57,109321
799,Agencia Modelo del Istmo (Juchitan),2018-09-05,18.57,113975
800,Agencia Modelo del Istmo (Juchitan),2018-09-06,18.74,115358
801,Agencia Modelo del Istmo (Juchitan),2018-09-07,18.57,109321
802,Agencia Modelo del Istmo (Juchitan),2018-09-08,18.57,113975
803,Agencia Modelo del Istmo (Juchitan),2018-09-08,18.57,109321
805,Agencia Modelo del Istmo (Juchitan),2018-09-10,18.57,109321
806,Agencia Modelo del Istmo (Juchitan),2018-09-10,18.57,117198
807,Agencia Modelo del Istmo (Juchitan),2018-09-11,18.57,109321
808,Agencia Modelo del Istmo (Juchitan),2018-09-11,18.57,107452
809,Agencia Modelo del Istmo (Juchitan),2018-09-12,18.58,107452
810,Agencia Modelo del Istmo (Juchitan),2018-09-12,18.58,113975
811,Agencia Modelo del Istmo (Juchitan),2018-09-13,18.58,107452
814,Agencia Modelo del Istmo (Juchitan),2018-09-14,18.61,113975
815,Agencia Modelo del Istmo (Juchitan),2018-09-15,18.74,115358
816,Agencia Modelo del Istmo (Juchitan),2018-09-16,18.63,113975
817,Agencia Modelo del Istmo (Juchitan),2018-09-17,18.63,113975
818,Agencia Modelo del Istmo (Juchitan),2018-09-17,18.63,107452
819,Agencia Modelo del Istmo (Juchitan),2018-09-17,18.63,117198
820,Agencia Modelo del Istmo (Juchitan),2018-09-18,18.74,115358
822,Agencia Modelo del Istmo (Juchitan),2018-09-19,18.63,113975
823,Agencia Modelo del Istmo (Juchitan),2018-09-20,18.63,109321
824,Agencia Modelo del Istmo (Juchitan),2018-09-20,18.63,107452
826,Agencia Modelo del Istmo (Juchitan),2018-09-21,18.65,113975
828,Agencia Modelo del Istmo (Juchitan),2018-09-21,18.65,107453
829,Agencia Modelo del Istmo (Juchitan),2018-09-22,18.66,107453
830,Agencia Modelo del Istmo (Juchitan),2018-09-22,18.66,109321
831,Agencia Modelo del Istmo (Juchitan),2018-09-24,18.66,113975
833,Agencia Modelo del Istmo (Juchitan),2018-09-24,18.66,117198
834,Agencia Modelo del Istmo (Juchitan),2018-09-25,18.52,117465
835,Agencia Modelo del Istmo (Juchitan),2018-09-26,18.89,114034
838,Agencia Modelo del Istmo (Juchitan),2018-09-27,18.78,115358
841,Agencia Modelo del Istmo (Juchitan),2018-09-28,18.73,107452
842,Agencia Modelo del Istmo (Juchitan),2018-09-29,18.73,113975
844,Agencia Modelo del Istmo (Juchitan),2018-09-30,18.85,107459
845,Agencia Modelo del Istmo (Juchitan),2018-10-01,18.73,109321
853,Agencia Modelo del Istmo (Juchitan),2018-10-01,18.73,113975
854,Agencia Modelo del Istmo (Juchitan),2018-10-01,18.73,117198
855,Agencia Modelo del Istmo (Juchitan),2018-10-02,18.8,107453
856,Agencia Modelo del Istmo (Juchitan),2018-10-03,18.74,107452
858,Agencia Modelo del Istmo (Juchitan),2018-10-04,18.87,115358
859,Agencia Modelo del Istmo (Juchitan),2018-10-05,18.78,109321
869,Agencia Modelo del Istmo (Juchitan),2018-10-05,18.78,113975
870,Agencia Modelo del Istmo (Juchitan),2018-10-06,19.02,114034
873,Agencia Modelo del Istmo (Juchitan),2018-10-07,18.81,113975
874,Agencia Modelo del Istmo (Juchitan),2018-10-08,18.81,113975
875,Agencia Modelo del Istmo (Juchitan),2018-10-08,18.81,117198
876,Agencia Modelo del Istmo (Juchitan),2018-10-09,18.81,113975
877,Agencia Modelo del Istmo (Juchitan),2018-10-10,18.84,109321
879,Agencia Modelo del Istmo (Juchitan),2018-10-11,18.85,113975
880,Agencia Modelo del Istmo (Juchitan),2018-10-12,18.85,113975
881,Agencia Modelo del Istmo (Juchitan),2018-10-12,18.85,109321
885,Agencia Modelo del Istmo (Juchitan),2018-10-13,18.85,109321
889,Agencia Modelo del Istmo (Juchitan),2018-10-15,18.85,113975
890,Agencia Modelo del Istmo (Juchitan),2018-10-16,18.85,109321
891,Agencia Modelo del Istmo (Juchitan),2018-10-16,18.85,117198
892,Agencia Modelo del Istmo (Juchitan),2018-10-17,19.02,114034
895,Agencia Modelo del Istmo (Juchitan),2018-10-18,18.85,109321
897,Agencia Modelo del Istmo (Juchitan),2018-10-19,18.86,107453
898,Agencia Modelo del Istmo (Juchitan),2018-10-20,18.86,107453
900,Agencia Modelo del Istmo (Juchitan),2018-10-21,18.86,107453
901,Agencia Modelo del Istmo (Juchitan),2018-10-22,18.87,117198
902,Agencia Modelo del Istmo (Juchitan),2018-10-23,18.87,109321
904,Agencia Modelo del Istmo (Juchitan),2018-10-23,18.87,113975
905,Agencia Modelo del Istmo (Juchitan),2018-10-24,18.87,109321
906,Agencia Modelo del Istmo (Juchitan),2018-10-25,18.87,113975
908,Agencia Modelo del Istmo (Juchitan),2018-10-26,18.87,109321
909,Agencia Modelo del Istmo (Juchitan),2018-10-26,18.87,113975
910,Agencia Modelo del Istmo (Juchitan),2018-10-27,18.9,110314
911,Agencia Modelo del Istmo (Juchitan),2018-10-28,18.89,115358
912,Agencia Modelo del Istmo (Juchitan),2018-10-29,18.84,107453
913,Agencia Modelo del Istmo (Juchitan),2018-10-30,18.87,107452
914,Agencia Modelo del Istmo (Juchitan),2018-10-30,18.87,109321
916,Agencia Modelo del Istmo (Juchitan),2018-11-01,18.84,107453
918,Agencia Modelo del Istmo (Juchitan),2018-11-02,19.02,114034
919,Agencia Modelo del Istmo (Juchitan),2018-11-03,18.84,107453
920,Agencia Modelo del Istmo (Juchitan),2018-11-05,18.89,115358
922,Agencia Modelo del Istmo (Juchitan),2018-11-05,18.89,109321
923,Agencia Modelo del Istmo (Juchitan),2018-11-05,18.89,113975
924,Agencia Modelo del Istmo (Juchitan),2018-11-06,18.84,107453
925,Agencia Modelo del Istmo (Juchitan),2018-11-07,18.84,107453
926,Agencia Modelo del Istmo (Juchitan),2018-11-08,18.89,115358
927,Agencia Modelo del Istmo (Juchitan),2018-11-08,18.89,109321
928,Agencia Modelo del Istmo (Juchitan),2018-11-08,18.89,107452
929,Agencia Modelo del Istmo (Juchitan),2018-11-09,18.89,113975
930,Agencia Modelo del Istmo (Juchitan),2018-11-09,18.89,115358
932,Agencia Modelo del Istmo (Juchitan),2018-11-10,18.84,107453
933,Agencia Modelo del Istmo (Juchitan),2018-11-11,18.89,109321
942,Agencia Modelo del Istmo (Juchitan),2018-11-12,18.51,107458
943,Agencia Modelo del Istmo (Juchitan),2018-11-13,18.85,115358
944,Agencia Modelo del Istmo (Juchitan),2018-11-14,18.85,115358
946,Agencia Modelo del Istmo (Juchitan),2018-11-15,18.8,107453
947,Agencia Modelo del Istmo (Juchitan),2018-11-16,18.78,107459
948,Agencia Modelo del Istmo (Juchitan),2018-11-17,18.85,115358
951,Agencia Modelo del Istmo (Juchitan),2018-11-19,18.76,107453
953,Agencia Modelo del Istmo (Juchitan),2018-11-20,18.76,107453
954,Agencia Modelo del Istmo (Juchitan),2018-11-21,18.76,107453
955,Agencia Modelo del Istmo (Juchitan),2018-11-22,18.76,107453
956,Agencia Modelo del Istmo (Juchitan),2018-11-23,18.78,107459
957,Agencia Modelo del Istmo (Juchitan),2018-11-24,18.81,115358
958,Agencia Modelo del Istmo (Juchitan),2018-11-25,18.76,107453
959,Agencia Modelo del Istmo (Juchitan),2018-11-26,18.81,115358
961,Agencia Modelo del Istmo (Juchitan),2018-11-27,18.81,115358
964,Agencia Modelo del Istmo (Juchitan),2018-11-28,18.89,113975
965,Agencia Modelo del Istmo (Juchitan),2018-11-28,18.89,109321
967,Agencia Modelo del Istmo (Juchitan),2018-11-29,18.81,115358
970,Agencia Modelo del Istmo (Juchitan),2018-11-30,18.71,107453
971,Agencia Modelo del Istmo (Juchitan),2018-12-01,18.89,114034
975,Agencia Modelo del Istmo (Juchitan),2018-12-02,18.89,114034
976,Agencia Modelo del Istmo (Juchitan),2018-12-03,18.89,114034
978,Agencia Modelo del Istmo (Juchitan),2018-12-03,18.89,109321
990,Agencia Modelo del Istmo (Juchitan),2018-12-03,18.89,1
